enormously,tremendously,tremendously,correct
provisions,stipulations,stipulations,correct
haphazardly,randomly,randomly,correct
prominent,conspicuous,conspicuous,correct
zenith,pinnacle,pinnacle,correct
flawed,imperfect,imperfect,correct
urgently,desperately,desperately,correct
consumed,eaten,eaten,correct
advent,coming,coming,correct
concisely,succinctly,succinctly,correct
salutes,greetings,ceremonies,wrong
solitary,alone,restless,wrong
hasten,accelerate,accelerate,correct
perseverance,endurance,generosity,wrong
fanciful,imaginative,imaginative,correct
showed,demonstrated,demonstrated,correct
constantly,continually,continually,correct
issues,subjects,subjects,correct
furnish,supply,impress,wrong
costly,expensive,expensive,correct
recognized,acknowledged,acknowledged,correct
spot,location,location,correct
make,earn,earn,correct
often,frequently,frequently,correct
easygoing,relaxed,relaxed,correct
debate,argument,argument,correct
narrow,thin,thin,correct
arranged,planned,planned,correct
infinite,limitless,limitless,correct
showy,striking,prickly,wrong
levied,imposed,imposed,correct
deftly,skillfully,skillfully,correct
distribute,circulate,commercialize,wrong
discrepancies,differences,differences,correct
prolific,productive,productive,correct
unmatched,unequaled,unequaled,correct
peculiarly,uniquely,uniquely,correct
hue,color,color,correct
hind,rear,rear,correct
highlight,accentuate,accentuate,correct
hastily,hurriedly,hurriedly,correct
temperate,mild,mild,correct
grin,smile,smile,correct
verbally,orally,orally,correct
physician,doctor,doctor,correct
essentially,basically,basically,correct
keen,sharp,useful,wrong
situated,positioned,positioned,correct
principal,major,major,correct
slowly,gradually,gradually,correct
built,constructed,constructed,correct
tasks,jobs,jobs,correct
unlikely,improbable,improbable,correct
halfheartedly,apathetically,apathetically,correct
annals,chronicles,chronicles,correct
wildly,furiously,furiously,correct
hailed,acclaimed,remembered,wrong
command,mastery,mastery,correct
concocted,devised,devised,correct
prospective,potential,potential,correct
generally,broadly,broadly,correct
sustained,prolonged,prolonged,correct
perilous,dangerous,dangerous,correct
tranquillity,peacefulness,peacefulness,guess
dissipate,disperse,disperse,correct
primarily,chiefly,chiefly,correct
colloquial,conversational,conversational,correct
resolved,settled,settled,correct
feasible,possible,possible,correct
expeditiously,rapidly,rapidly,correct
percentage,proportion,proportion,correct
terminated,ended,postponed,wrong
uniform,alike,alike,correct
figure,solve,solve,correct
sufficient,enough,enough,correct
fashion,manner,manner,correct
marketed,sold,sold,correct
bigger,larger,larger,correct
roots,origins,origins,correct
normally,ordinarily,ordinarily,correct
